V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
5.62,16.31,16.92,14.09,3.8,8.76,13.3,11.5,17.87,9.69
5.647613807,16.29495248,16.91423712,14.09,3.810245123,8.730765383,13.3,11.5,17.85532766,9.72018009
5.675227614,16.28495248,16.91,14.09156578,3.82098049,8.701530765,13.3,11.49963482,17.84065533,9.76036018
5.702841421,16.27485743,16.91,14.09734867,3.841470735,8.672296148,13.3,11.49445223,17.82598299,9.79054027
5.730455228,16.2598099,16.90694847,14.1,3.861470735,8.643061531,13.3,11.49073037,17.81131066,9.83144072
5.758069035,16.24476238,16.90118559,14.1,3.876838419,8.613826913,13.3,11.49591296,17.8,9.8618009
5.785682841,16.22971486,16.90457729,14.11409205,3.892941471,8.584592296,13.3,11.49890445,17.8,9.902161081
5.813296648,16.21466733,16.91068034,14.12951976,3.913431716,8.554197099,13.306003,11.49372186,17.8,9.943781891
5.845092546,16.2,16.9222061,14.12373687,3.934902451,8.517653827,13.31828914,11.49292146,17.8,10.00432216
5.878229115,16.2,16.9244022,14.12613807,3.960515258,8.481110555,13.31471236,11.50328664,17.8,10.05810405
5.916593297,16.19476238,16.90711356,14.14348674,3.984902451,8.447653827,13.31143072,11.50817409,17.8048024,10.1390045
5.955252626,16.18171586,16.91017509,14.15,4.005392696,8.41841921,13.31757379,11.5029915,17.81528264,10.24990495
5.993911956,16.16,16.92746373,14.15,4.027353677,8.389184592,13.32371686,11.4978089,17.82576288,10.36512756
6.030775388,16.16,16.93,14.15517759,4.052966483,8.349924962,13.32985993,11.49262631,17.83624312,10.50872936
6.063911956,16.15466733,16.92931966,14.16096048,4.07857929,8.310715358,13.33,11.49255628,17.84672336,10.66269135
6.099889945,16.14428714,16.92355678,14.16674337,4.104192096,8.28148074,13.33,11.49773887,17.83703352,10.83431216
6.138549275,16.13,16.92441221,14.17252626,4.129804902,8.252246123,13.33,11.49707854,17.81816908,11.00593297
6.173321661,16.13,16.93593797,14.17830915,4.155417709,8.218764382,13.33443222,11.49189595,17.79930465,11.18061531
6.206458229,16.11914457,16.94,14.18,4.183236618,8.183776888,13.34057529,11.48671336,17.78044022,11.36593297
6.264257129,16.11,16.94,14.18,4.213971986,8.154542271,13.34671836,11.48153077,17.76157579,11.53737369
6.322731366,16.10952476,16.94525763,14.18565783,4.242256128,8.112961481,13.35,11.47634817,17.77536768,11.69881441
6.355867934,16.102001,16.95,14.18855928,4.267868934,8.079554777,13.35,11.47116558,17.79213607,11.86025513
6.392006003,16.09447724,16.95,14.18277639,4.296178089,8.055257629,13.34485243,11.46196598,17.80890445,12.01773387
6.436188094,16.08695348,16.95509255,14.1830065,4.326913457,8.011405703,13.34387194,11.4516008,17.82567284,12.14485243
6.477823912,16.07942971,16.96661831,14.18878939,4.357648824,7.983776888,13.36230115,11.45,17.83969485,12.27593297
6.516483242,16.07190595,16.96592796,14.20371686,4.388384192,7.956418209,13.37,11.45,17.8375988,12.38701351
6.562326163,16.06438219,16.96016508,14.22,4.415932966,7.91989995,13.37,11.44525263,17.83550275,12.49341171
6.612031016,16.06,16.9711956,14.22,4.441545773,7.890665333,13.37,11.44007004,17.8334067,12.56944972
6.657098549,16.05933467,16.98,14.22192096,4.470590295,7.856788394,13.37,11.44,17.83131066,12.66008504
6.70144072,16.05181091,16.98,14.22770385,4.501325663,7.822196098,13.37,11.44,17.83392696,12.73566783
6.751145573,16.05,16.98,14.22651326,4.528384192,7.792961481,13.37429215,11.44,17.8444072,12.7954027
